order_id,billing1_location,billing1_location_type,billing1_viewport,billing2_location,billing2_location_type,billing2_viewport,shipping1_location,shipping1_location_type,shipping1_viewport,shipping2_location,shipping2_location_type,shipping2_viewport
142598,"{'lat': 23.8191441, 'lng': 90.45259539999999}",APPROXIMATE,"{'northeast': {'lat': 23.83144, 'lng': 90.4843425}, 'southwest': {'lat': 23.8076484, 'lng': 90.42436839999999}}",_,_,_,"{'lat': 23.8191441, 'lng': 90.45259539999999}",APPROXIMATE,"{'northeast': {'lat': 23.83144, 'lng': 90.4843425}, 'southwest': {'lat': 23.8076484, 'lng': 90.42436839999999}}",_,_,_
142599,_,_,_,_,_,_,_,_,_,_,_,_
142600,_,_,_,_,_,_,_,_,_,_,_,_
142603,"{'lat': 23.8191441, 'lng': 90.45259539999999}",APPROXIMATE,"{'northeast': {'lat': 23.83144, 'lng': 90.4843425}, 'southwest': {'lat': 23.8076484, 'lng': 90.42436839999999}}",_,_,_,"{'lat': 23.8191441, 'lng': 90.45259539999999}",APPROXIMATE,"{'northeast': {'lat': 23.83144, 'lng': 90.4843425}, 'southwest': {'lat': 23.8076484, 'lng': 90.42436839999999}}",_,_,_
142604,_,_,_,_,_,_,_,_,_,_,_,_
142605,_,_,_,_,_,_,_,_,_,_,_,_
142606,"{'lat': 23.8144008, 'lng': 90.4351437}",GEOMETRIC_CENTER,"{'northeast': {'lat': 23.8191881, 'lng': 90.44198279999999}, 'southwest': {'lat': 23.813252, 'lng': 90.427837}}",_,_,_,"{'lat': 23.8144008, 'lng': 90.4351437}",GEOMETRIC_CENTER,"{'northeast': {'lat': 23.8191881, 'lng': 90.44198279999999}, 'southwest': {'lat': 23.813252, 'lng': 90.427837}}",_,_,_
142607,"{'lat': 23.8191441, 'lng': 90.45259539999999}",APPROXIMATE,"{'northeast': {'lat': 23.83144, 'lng': 90.4843425}, 'southwest': {'lat': 23.8076484, 'lng': 90.42436839999999}}",_,_,_,"{'lat': 23.8191441, 'lng': 90.45259539999999}",APPROXIMATE,"{'northeast': {'lat': 23.83144, 'lng': 90.4843425}, 'southwest': {'lat': 23.8076484, 'lng': 90.42436839999999}}",_,_,_
142610,_,_,_,_,_,_,_,_,_,_,_,_
142611,"{'lat': 23.8191441, 'lng': 90.45259539999999}",APPROXIMATE,"{'northeast': {'lat': 23.83144, 'lng': 90.4843425}, 'southwest': {'lat': 23.8076484, 'lng': 90.42436839999999}}",_,_,_,"{'lat': 23.8191441, 'lng': 90.45259539999999}",APPROXIMATE,"{'northeast': {'lat': 23.83144, 'lng': 90.4843425}, 'southwest': {'lat': 23.8076484, 'lng': 90.42436839999999}}",_,_,_
142612,"{'lat': 23.8191441, 'lng': 90.45259539999999}",APPROXIMATE,"{'northeast': {'lat': 23.83144, 'lng': 90.4843425}, 'southwest': {'lat': 23.8076484, 'lng': 90.42436839999999}}",_,_,_,"{'lat': 23.8191441, 'lng': 90.45259539999999}",APPROXIMATE,"{'northeast': {'lat': 23.83144, 'lng': 90.4843425}, 'southwest': {'lat': 23.8076484, 'lng': 90.42436839999999}}",_,_,_
142613,_,_,_,_,_,_,_,_,_,_,_,_
142614,"{'lat': 23.8191441, 'lng': 90.45259539999999}",APPROXIMATE,"{'northeast': {'lat': 23.83144, 'lng': 90.4843425}, 'southwest': {'lat': 23.8076484, 'lng': 90.42436839999999}}",_,_,_,"{'lat': 23.8191441, 'lng': 90.45259539999999}",APPROXIMATE,"{'northeast': {'lat': 23.83144, 'lng': 90.4843425}, 'southwest': {'lat': 23.8076484, 'lng': 90.42436839999999}}",_,_,_
142615,"{'lat': 23.8191441, 'lng': 90.45259539999999}",APPROXIMATE,"{'northeast': {'lat': 23.83144, 'lng': 90.4843425}, 'southwest': {'lat': 23.8076484, 'lng': 90.42436839999999}}",_,_,_,"{'lat': 23.8191441, 'lng': 90.45259539999999}",APPROXIMATE,"{'northeast': {'lat': 23.83144, 'lng': 90.4843425}, 'southwest': {'lat': 23.8076484, 'lng': 90.42436839999999}}",_,_,_
142616,"{'lat': 23.8189276, 'lng': 90.4379135}",ROOFTOP,"{'northeast': {'lat': 23.8202883802915, 'lng': 90.43926138029151}, 'southwest': {'lat': 23.8175904197085, 'lng': 90.43656341970849}}",_,_,_,"{'lat': 23.8189276, 'lng': 90.4379135}",ROOFTOP,"{'northeast': {'lat': 23.8202883802915, 'lng': 90.43926138029151}, 'southwest': {'lat': 23.8175904197085, 'lng': 90.43656341970849}}",_,_,_
142634,"{'lat': 23.8144008, 'lng': 90.4351437}",GEOMETRIC_CENTER,"{'northeast': {'lat': 23.8191881, 'lng': 90.44198279999999}, 'southwest': {'lat': 23.813252, 'lng': 90.427837}}",_,_,_,"{'lat': 23.8144008, 'lng': 90.4351437}",GEOMETRIC_CENTER,"{'northeast': {'lat': 23.8191881, 'lng': 90.44198279999999}, 'southwest': {'lat': 23.813252, 'lng': 90.427837}}",_,_,_
142635,_,_,_,_,_,_,_,_,_,_,_,_
142636,"{'lat': 23.8191441, 'lng': 90.45259539999999}",APPROXIMATE,"{'northeast': {'lat': 23.83144, 'lng': 90.4843425}, 'southwest': {'lat': 23.8076484, 'lng': 90.42436839999999}}",_,_,_,"{'lat': 23.8191441, 'lng': 90.45259539999999}",APPROXIMATE,"{'northeast': {'lat': 23.83144, 'lng': 90.4843425}, 'southwest': {'lat': 23.8076484, 'lng': 90.42436839999999}}",_,_,_
142637,_,_,_,_,_,_,_,_,_,_,_,_
142638,"{'lat': 23.8191441, 'lng': 90.45259539999999}",APPROXIMATE,"{'northeast': {'lat': 23.83144, 'lng': 90.4843425}, 'southwest': {'lat': 23.8076484, 'lng': 90.42436839999999}}",_,_,_,"{'lat': 23.8191441, 'lng': 90.45259539999999}",APPROXIMATE,"{'northeast': {'lat': 23.83144, 'lng': 90.4843425}, 'southwest': {'lat': 23.8076484, 'lng': 90.42436839999999}}",_,_,_
142640,"{'lat': 23.8628838, 'lng': 90.3961931}",GEOMETRIC_CENTER,"{'northeast': {'lat': 23.8641957302915, 'lng': 90.3975236802915}, 'southwest': {'lat': 23.8614977697085, 'lng': 90.39482571970849}}",_,_,_,"{'lat': 23.8628838, 'lng': 90.3961931}",GEOMETRIC_CENTER,"{'northeast': {'lat': 23.8641957302915, 'lng': 90.3975236802915}, 'southwest': {'lat': 23.8614977697085, 'lng': 90.39482571970849}}",_,_,_
142641,"{'lat': 23.8120981, 'lng': 90.4390795}",GEOMETRIC_CENTER,"{'northeast': {'lat': 23.8134664802915, 'lng': 90.44109850000001}, 'southwest': {'lat': 23.8107685197085, 'lng': 90.4372669}}",_,_,_,"{'lat': 23.8120981, 'lng': 90.4390795}",GEOMETRIC_CENTER,"{'northeast': {'lat': 23.8134664802915, 'lng': 90.44109850000001}, 'southwest': {'lat': 23.8107685197085, 'lng': 90.4372669}}",_,_,_
142643,"{'lat': 23.7781535, 'lng': 90.4147901}",GEOMETRIC_CENTER,"{'northeast': {'lat': 23.7795111802915, 'lng': 90.4166786}, 'southwest': {'lat': 23.7768132197085, 'lng': 90.4122972}}",_,_,_,"{'lat': 23.7781535, 'lng': 90.4147901}",GEOMETRIC_CENTER,"{'northeast': {'lat': 23.7795111802915, 'lng': 90.4166786}, 'southwest': {'lat': 23.7768132197085, 'lng': 90.4122972}}",_,_,_
142651,"{'lat': 23.8120981, 'lng': 90.4390795}",GEOMETRIC_CENTER,"{'northeast': {'lat': 23.8134664802915, 'lng': 90.44109850000001}, 'southwest': {'lat': 23.8107685197085, 'lng': 90.4372669}}",_,_,_,"{'lat': 23.8120981, 'lng': 90.4390795}",GEOMETRIC_CENTER,"{'northeast': {'lat': 23.8134664802915, 'lng': 90.44109850000001}, 'southwest': {'lat': 23.8107685197085, 'lng': 90.4372669}}",_,_,_
142654,_,_,_,_,_,_,_,_,_,_,_,_
142657,_,_,_,_,_,_,_,_,_,_,_,_
142662,_,_,_,_,_,_,_,_,_,_,_,_
142666,"{'lat': 23.8628838, 'lng': 90.3961931}",GEOMETRIC_CENTER,"{'northeast': {'lat': 23.8641957302915, 'lng': 90.3975236802915}, 'southwest': {'lat': 23.8614977697085, 'lng': 90.39482571970849}}",_,_,_,"{'lat': 23.8628838, 'lng': 90.3961931}",GEOMETRIC_CENTER,"{'northeast': {'lat': 23.8641957302915, 'lng': 90.3975236802915}, 'southwest': {'lat': 23.8614977697085, 'lng': 90.39482571970849}}",_,_,_
142669,"{'lat': 23.8206687, 'lng': 90.43962479999999}",APPROXIMATE,"{'northeast': {'lat': 23.8228032, 'lng': 90.4419155}, 'southwest': {'lat': 23.8157623, 'lng': 90.4362451}}",_,_,_,"{'lat': 23.8206687, 'lng': 90.43962479999999}",APPROXIMATE,"{'northeast': {'lat': 23.8228032, 'lng': 90.4419155}, 'southwest': {'lat': 23.8157623, 'lng': 90.4362451}}",_,_,_
142670,_,_,_,_,_,_,_,_,_,_,_,_
142683,_,_,_,_,_,_,_,_,_,_,_,_
142684,"{'lat': 23.8191441, 'lng': 90.45259539999999}",APPROXIMATE,"{'northeast': {'lat': 23.83144, 'lng': 90.4843425}, 'southwest': {'lat': 23.8076484, 'lng': 90.42436839999999}}",_,_,_,"{'lat': 23.8191441, 'lng': 90.45259539999999}",APPROXIMATE,"{'northeast': {'lat': 23.83144, 'lng': 90.4843425}, 'southwest': {'lat': 23.8076484, 'lng': 90.42436839999999}}",_,_,_
142685,"{'lat': 23.8191441, 'lng': 90.45259539999999}",APPROXIMATE,"{'northeast': {'lat': 23.83144, 'lng': 90.4843425}, 'southwest': {'lat': 23.8076484, 'lng': 90.42436839999999}}",_,_,_,"{'lat': 23.8191441, 'lng': 90.45259539999999}",APPROXIMATE,"{'northeast': {'lat': 23.83144, 'lng': 90.4843425}, 'southwest': {'lat': 23.8076484, 'lng': 90.42436839999999}}",_,_,_
142686,_,_,_,_,_,_,_,_,_,_,_,_
142689,"{'lat': 23.8263977, 'lng': 90.439783}",GEOMETRIC_CENTER,"{'northeast': {'lat': 23.8281018, 'lng': 90.4433092}, 'southwest': {'lat': 23.8217883, 'lng': 90.4372669}}",_,_,_,"{'lat': 23.8263977, 'lng': 90.439783}",GEOMETRIC_CENTER,"{'northeast': {'lat': 23.8281018, 'lng': 90.4433092}, 'southwest': {'lat': 23.8217883, 'lng': 90.4372669}}",_,_,_
142690,_,_,_,_,_,_,_,_,_,_,_,_
142691,"{'lat': 23.8203181, 'lng': 90.4386793}",GEOMETRIC_CENTER,"{'northeast': {'lat': 23.8216508302915, 'lng': 90.441688}, 'southwest': {'lat': 23.8189528697085, 'lng': 90.43608809999999}}",_,_,_,"{'lat': 23.8203181, 'lng': 90.4386793}",GEOMETRIC_CENTER,"{'northeast': {'lat': 23.8216508302915, 'lng': 90.441688}, 'southwest': {'lat': 23.8189528697085, 'lng': 90.43608809999999}}",_,_,_
142692,"{'lat': 23.8229657, 'lng': 90.4336123}",GEOMETRIC_CENTER,"{'northeast': {'lat': 23.8236615, 'lng': 90.4362354}, 'southwest': {'lat': 23.8206787, 'lng': 90.4313729}}",_,_,_,"{'lat': 23.8229657, 'lng': 90.4336123}",GEOMETRIC_CENTER,"{'northeast': {'lat': 23.8236615, 'lng': 90.4362354}, 'southwest': {'lat': 23.8206787, 'lng': 90.4313729}}",_,_,_
142694,"{'lat': 23.7657259, 'lng': 90.4151231}",GEOMETRIC_CENTER,"{'northeast': {'lat': 23.7675631, 'lng': 90.4163706802915}, 'southwest': {'lat': 23.7634256, 'lng': 90.41367271970849}}",_,_,_,"{'lat': 23.7657259, 'lng': 90.4151231}",GEOMETRIC_CENTER,"{'northeast': {'lat': 23.7675631, 'lng': 90.4163706802915}, 'southwest': {'lat': 23.7634256, 'lng': 90.41367271970849}}",_,_,_
142702,"{'lat': 23.8191441, 'lng': 90.45259539999999}",APPROXIMATE,"{'northeast': {'lat': 23.83144, 'lng': 90.4843425}, 'southwest': {'lat': 23.8076484, 'lng': 90.42436839999999}}",_,_,_,"{'lat': 23.8191441, 'lng': 90.45259539999999}",APPROXIMATE,"{'northeast': {'lat': 23.83144, 'lng': 90.4843425}, 'southwest': {'lat': 23.8076484, 'lng': 90.42436839999999}}",_,_,_
142705,"{'lat': 23.8123686, 'lng': 90.4354881}",GEOMETRIC_CENTER,"{'northeast': {'lat': 23.8137113302915, 'lng': 90.43686603029151}, 'southwest': {'lat': 23.8110133697085, 'lng': 90.4341680697085}}",_,_,_,"{'lat': 23.8123686, 'lng': 90.4354881}",GEOMETRIC_CENTER,"{'northeast': {'lat': 23.8137113302915, 'lng': 90.43686603029151}, 'southwest': {'lat': 23.8110133697085, 'lng': 90.4341680697085}}",_,_,_
142706,"{'lat': 23.8247878, 'lng': 90.4334474}",GEOMETRIC_CENTER,"{'northeast': {'lat': 23.8251537, 'lng': 90.43638279999999}, 'southwest': {'lat': 23.8198993, 'lng': 90.4313729}}",_,_,_,"{'lat': 23.8247878, 'lng': 90.4334474}",GEOMETRIC_CENTER,"{'northeast': {'lat': 23.8251537, 'lng': 90.43638279999999}, 'southwest': {'lat': 23.8198993, 'lng': 90.4313729}}",_,_,_
142707,"{'lat': 23.8191441, 'lng': 90.45259539999999}",APPROXIMATE,"{'northeast': {'lat': 23.83144, 'lng': 90.4843425}, 'southwest': {'lat': 23.8076484, 'lng': 90.42436839999999}}",_,_,_,"{'lat': 23.8191441, 'lng': 90.45259539999999}",APPROXIMATE,"{'northeast': {'lat': 23.83144, 'lng': 90.4843425}, 'southwest': {'lat': 23.8076484, 'lng': 90.42436839999999}}",_,_,_
142708,_,_,_,_,_,_,_,_,_,_,_,_
142709,"{'lat': 23.8247878, 'lng': 90.4334474}",GEOMETRIC_CENTER,"{'northeast': {'lat': 23.8251537, 'lng': 90.43638279999999}, 'southwest': {'lat': 23.8198993, 'lng': 90.4313729}}",_,_,_,"{'lat': 23.8247878, 'lng': 90.4334474}",GEOMETRIC_CENTER,"{'northeast': {'lat': 23.8251537, 'lng': 90.43638279999999}, 'southwest': {'lat': 23.8198993, 'lng': 90.4313729}}",_,_,_
142711,"{'lat': 23.8120981, 'lng': 90.4390795}",GEOMETRIC_CENTER,"{'northeast': {'lat': 23.8134664802915, 'lng': 90.44109850000001}, 'southwest': {'lat': 23.8107685197085, 'lng': 90.4372669}}",_,_,_,"{'lat': 23.8120981, 'lng': 90.4390795}",GEOMETRIC_CENTER,"{'northeast': {'lat': 23.8134664802915, 'lng': 90.44109850000001}, 'southwest': {'lat': 23.8107685197085, 'lng': 90.4372669}}",_,_,_
142712,"{'lat': 23.7781535, 'lng': 90.4147901}",GEOMETRIC_CENTER,"{'northeast': {'lat': 23.7795111802915, 'lng': 90.4166786}, 'southwest': {'lat': 23.7768132197085, 'lng': 90.4122972}}",_,_,_,"{'lat': 23.7781535, 'lng': 90.4147901}",GEOMETRIC_CENTER,"{'northeast': {'lat': 23.7795111802915, 'lng': 90.4166786}, 'southwest': {'lat': 23.7768132197085, 'lng': 90.4122972}}",_,_,_
142713,"{'lat': 23.8191441, 'lng': 90.45259539999999}",APPROXIMATE,"{'northeast': {'lat': 23.83144, 'lng': 90.4843425}, 'southwest': {'lat': 23.8076484, 'lng': 90.42436839999999}}",_,_,_,"{'lat': 23.8191441, 'lng': 90.45259539999999}",APPROXIMATE,"{'northeast': {'lat': 23.83144, 'lng': 90.4843425}, 'southwest': {'lat': 23.8076484, 'lng': 90.42436839999999}}",_,_,_
142715,_,_,_,_,_,_,_,_,_,_,_,_
142716,"{'lat': 23.8191441, 'lng': 90.45259539999999}",APPROXIMATE,"{'northeast': {'lat': 23.83144, 'lng': 90.4843425}, 'southwest': {'lat': 23.8076484, 'lng': 90.42436839999999}}",_,_,_,"{'lat': 23.8191441, 'lng': 90.45259539999999}",APPROXIMATE,"{'northeast': {'lat': 23.83144, 'lng': 90.4843425}, 'southwest': {'lat': 23.8076484, 'lng': 90.42436839999999}}",_,_,_
142717,_,_,_,_,_,_,_,_,_,_,_,_
142720,_,_,_,_,_,_,_,_,_,_,_,_
142721,"{'lat': 23.8191441, 'lng': 90.45259539999999}",APPROXIMATE,"{'northeast': {'lat': 23.83144, 'lng': 90.4843425}, 'southwest': {'lat': 23.8076484, 'lng': 90.42436839999999}}",_,_,_,"{'lat': 23.8191441, 'lng': 90.45259539999999}",APPROXIMATE,"{'northeast': {'lat': 23.83144, 'lng': 90.4843425}, 'southwest': {'lat': 23.8076484, 'lng': 90.42436839999999}}",_,_,_
142732,_,_,_,_,_,_,_,_,_,_,_,_
142735,_,_,_,_,_,_,_,_,_,_,_,_
142736,"{'lat': 23.8191441, 'lng': 90.45259539999999}",APPROXIMATE,"{'northeast': {'lat': 23.83144, 'lng': 90.4843425}, 'southwest': {'lat': 23.8076484, 'lng': 90.42436839999999}}",_,_,_,"{'lat': 23.8191441, 'lng': 90.45259539999999}",APPROXIMATE,"{'northeast': {'lat': 23.83144, 'lng': 90.4843425}, 'southwest': {'lat': 23.8076484, 'lng': 90.42436839999999}}",_,_,_
142750,_,_,_,_,_,_,_,_,_,_,_,_
142751,_,_,_,_,_,_,_,_,_,_,_,_
142752,"{'lat': 23.8244052, 'lng': 90.43314099999999}",APPROXIMATE,"{'northeast': {'lat': 23.8278822, 'lng': 90.43783309999999}, 'southwest': {'lat': 23.8220179, 'lng': 90.42912129999999}}",_,_,_,"{'lat': 23.8244052, 'lng': 90.43314099999999}",APPROXIMATE,"{'northeast': {'lat': 23.8278822, 'lng': 90.43783309999999}, 'southwest': {'lat': 23.8220179, 'lng': 90.42912129999999}}",_,_,_
142753,_,_,_,_,_,_,_,_,_,_,_,_
142754,"{'lat': 23.8191441, 'lng': 90.45259539999999}",APPROXIMATE,"{'northeast': {'lat': 23.83144, 'lng': 90.4843425}, 'southwest': {'lat': 23.8076484, 'lng': 90.42436839999999}}","{'lat': 23.8191441, 'lng': 90.45259539999999}",APPROXIMATE,"{'northeast': {'lat': 23.83144, 'lng': 90.4843425}, 'southwest': {'lat': 23.8076484, 'lng': 90.42436839999999}}","{'lat': 23.8191441, 'lng': 90.45259539999999}",APPROXIMATE,"{'northeast': {'lat': 23.83144, 'lng': 90.4843425}, 'southwest': {'lat': 23.8076484, 'lng': 90.42436839999999}}","{'lat': 23.8191441, 'lng': 90.45259539999999}",APPROXIMATE,"{'northeast': {'lat': 23.83144, 'lng': 90.4843425}, 'southwest': {'lat': 23.8076484, 'lng': 90.42436839999999}}"
142755,"{'lat': 23.8191441, 'lng': 90.45259539999999}",APPROXIMATE,"{'northeast': {'lat': 23.83144, 'lng': 90.4843425}, 'southwest': {'lat': 23.8076484, 'lng': 90.42436839999999}}",_,_,_,"{'lat': 23.8191441, 'lng': 90.45259539999999}",APPROXIMATE,"{'northeast': {'lat': 23.83144, 'lng': 90.4843425}, 'southwest': {'lat': 23.8076484, 'lng': 90.42436839999999}}",_,_,_
142756,_,_,_,_,_,_,_,_,_,_,_,_
142757,"{'lat': 23.8206687, 'lng': 90.43962479999999}",APPROXIMATE,"{'northeast': {'lat': 23.8228032, 'lng': 90.4419155}, 'southwest': {'lat': 23.8157623, 'lng': 90.4362451}}",_,_,_,"{'lat': 23.8206687, 'lng': 90.43962479999999}",APPROXIMATE,"{'northeast': {'lat': 23.8228032, 'lng': 90.4419155}, 'southwest': {'lat': 23.8157623, 'lng': 90.4362451}}",_,_,_
142781,_,_,_,_,_,_,_,_,_,_,_,_
142782,"{'lat': 23.8191441, 'lng': 90.45259539999999}",APPROXIMATE,"{'northeast': {'lat': 23.83144, 'lng': 90.4843425}, 'southwest': {'lat': 23.8076484, 'lng': 90.42436839999999}}",_,_,_,"{'lat': 23.8191441, 'lng': 90.45259539999999}",APPROXIMATE,"{'northeast': {'lat': 23.83144, 'lng': 90.4843425}, 'southwest': {'lat': 23.8076484, 'lng': 90.42436839999999}}",_,_,_
142783,_,_,_,_,_,_,_,_,_,_,_,_
142784,"{'lat': 23.8191441, 'lng': 90.45259539999999}",APPROXIMATE,"{'northeast': {'lat': 23.83144, 'lng': 90.4843425}, 'southwest': {'lat': 23.8076484, 'lng': 90.42436839999999}}",_,_,_,"{'lat': 23.8191441, 'lng': 90.45259539999999}",APPROXIMATE,"{'northeast': {'lat': 23.83144, 'lng': 90.4843425}, 'southwest': {'lat': 23.8076484, 'lng': 90.42436839999999}}",_,_,_
142785,"{'lat': 23.8191441, 'lng': 90.45259539999999}",APPROXIMATE,"{'northeast': {'lat': 23.83144, 'lng': 90.4843425}, 'southwest': {'lat': 23.8076484, 'lng': 90.42436839999999}}",_,_,_,"{'lat': 23.8191441, 'lng': 90.45259539999999}",APPROXIMATE,"{'northeast': {'lat': 23.83144, 'lng': 90.4843425}, 'southwest': {'lat': 23.8076484, 'lng': 90.42436839999999}}",_,_,_
142786,_,_,_,_,_,_,_,_,_,_,_,_
